Topic 0|-0.12789484055753794|televis|broadcast|channel|digit|advertis|product|program|right|content|radio|film|music|entertain|sky|media|share|audienc|includ|network|subscrib|sport|servic|increas|distribut|offer|news|show|video|cabl|canal|0.02850350187274767|0.02684950465892463|0.02618728396993157|0.017852008537112836|0.015952398955071712|0.015395884854932007|0.012554243025168365|0.0121780519295432|0.012131416669754957|0.011957311699878848|0.011696154245064682|0.011568684534976817|0.0108567195688763|0.010838065464961001|0.010592453096742917|0.009560259346763127|0.008496975423591173|0.008154983518477387|0.008064822016220117|0.007788119474809871|0.007710394041829465|0.007138334855093677|0.0068460872270873505|0.00658182075495397|0.006351753473331968|0.0061900845727327234|0.006047069776048777|0.0057859123212346125|0.005639788507231449|0.005602480299400855
Topic 1|-1.4130584931355739|percent|increas|system|cash|part|bank|rate|interest|program|board|due|time|receiv|issu|averag|capit|number|base|includ|work|intern|currenc|countri|process|item|offer|region|employe|meet|local|0.17576365151086953|0.014262670351801135|0.013387567596314424|0.008824751123846878|0.008751058260226943|0.008238278750871573|0.008198361783077443|0.008032552839932592|0.007885167112692725|0.007267989379875782|0.007240354556018307|0.007129815260588407|0.00687189023791864|0.006586330391391397|0.006042845522194387|0.005763426747635473|0.005569982980633147|0.005398032965519969|0.00518616598261266|0.005149319550802694|0.005011145431515318|0.004814631128528829|0.004780855232703027|0.004744008800893059|0.004701021297114765|0.004682598081209782|0.0046672454012889626|0.004611975753574012|0.0046027641456215206|0.004578199857748209
Topic 2|-1.5763448736691512|group|statement|award|committe|cash|financi-statement|busi|profit|review|continu|director|end|report|oper|scheme|revenu|trade|receiv|risk|nonexecut-director|charg|perform|nonexecut|audit|account|expect|note|requir|cost|made|0.033071711459538966|0.015580709617291168|0.015530804960717837|0.010814234627833817|0.010674965818791966|0.009968176612904571|0.00987184901998396|0.009866046152940547|0.009532961584648787|0.009145330066148968|0.007898874225224404|0.007794422618443014|0.007500797546046445|0.007354565296552502|0.006868285038314706|0.006301925214877845|0.006015263582933368|0.005840016998222372|0.005826090117318187|0.005539428485373711|0.005424531717914184|0.005371145341114807|0.005360700180436669|0.005331685845219616|0.004993958983293127|0.004894149670146467|0.004814070104947403|0.0047014944843052405|0.004579634276393621|0.0045448170741331576
Topic 3|0.31105618115842526|march|japan|yen|subsidiari|end|end-march|secur|corpor|busi|account|sale|amount|loss|stock|dollar|oper|retir|note|net|leas|plan|method|asset|domest|base|oversea|includ|director|previou|affili|0.02870027595906475|0.01698438086149057|0.015867442499198213|0.015321816780584339|0.013806288201772108|0.013374039255857222|0.01192671389187172|0.01132971432312862|0.01074511533889947|0.010673369099925894|0.01013660094167913|0.00907280794158942|0.008108219617611325|0.00767774218376986|0.007048855397705169|0.006896505359390906|0.005791081825575787|0.005756537340144065|0.0056086160820133565|0.00556964281639808|0.005525355014562538|0.0053101162976418054|0.004991244124425906|0.004972643247654979|0.004830036525744535|0.0046847725357239585|0.004503192548198237|0.004480162891243756|0.004404873628123336|0.004266695686396446
Topic 4|-0.015657767820231608|subsidiari|director|limit|interest|hold|provis|end|balanc|statement|servic|financi-statement|audit|scheme|note|profit|grant|option|appoint|cent|auditor|bank|proxi|issu|date|member|tan|meet|pursuant|fax|gener-meet|0.019041144878019865|0.014887952861066686|0.012496978569801087|0.010150187172332861|0.009028621406707208|0.008501825365276976|0.008020911559713248|0.0075230043334582235|0.007516206965181705|0.006498301065772967|0.0064626148823212414|0.006411634620247348|0.006211112256090034|0.006131243178840935|0.005910328709854063|0.005415820167737297|0.0053988267470459995|0.004992683992523983|0.00493320702010444|0.00470549518284105|0.004532162291789812|0.004416607031088988|0.004411509004881598|0.004357130058669445|0.004008764934497841|0.004008764934497841|0.003874516911036588|0.0038626215165526796|0.0038558241482761603|0.0038558241482761603
Topic 5|-0.7265571443237628|result|van|activ|dutch|share|number|oper|posit|interest|balanc|board|prefer|polici|dividend|provis|cash|ordinari|net|prefer-share|employ|work|code|articl|flow|loan|profit|member|particip|sheet|pension|0.020181783553229447|0.016917275789813866|0.013107762782195798|0.012967829003278943|0.010500575532902814|0.009029429620342718|0.008867401034228464|0.008418139954548036|0.007943101599803975|0.007313399594678127|0.006849408643532765|0.006762870648676289|0.006624778103692551|0.006079772859490062|0.005497942936625244|0.005367215327373971|0.005175726998329854|0.0046822763042546275|0.0046215155844617824|0.004597579543331268|0.004577325970066986|0.00445396329654818|0.004428186021484549|0.004383996407089753|0.0043803139392235195|0.004256951265704713|0.004231173990641082|0.00413174735825279|0.00412069995465409|0.004072827872393062
Topic 6|-0.9485402562427169|common|common-share|share|oper|plan|net|incom|net-earn|term|benefit|cash|rate|interest|earn|credit|asset|quarter|includ|impact|charg|cost|receiv|price|relat|capit|recogn|result|program|food|prefer|0.019117865121854156|0.016243667549826035|0.014492719603647983|0.012693085915173026|0.010293574330539746|0.009977117005609852|0.00920857778792296|0.009165108375157865|0.008553059043425319|0.008460903888363316|0.008213997623857574|0.007986217900968472|0.00787667498080043|0.007591515633061404|0.006930780559031951|0.0068038498737578714|0.006289172026619139|0.006044004538624|0.005984886137263471|0.005737979872757727|0.005271987767915902|0.00525286122629926|0.005049424374558613|0.004976395761113252|0.004805995663074077|0.004649505777119733|0.004552134292525919|0.004466934243506331|0.004374779088444329|0.004306966804530779
Topic 7|-1.5775782191786576|power|energi|electr|plant|gener|solar|power-plant|project|renew|instal|develop|capac|power-gener|energi-energi|industri|suppli|system|cost|fuel|photovolta|addit|busi|subgroup|renew-energi|engin|thermal|mainten|end|financ|period|0.0875169634785262|0.07250923700507604|0.06917799648908877|0.03165868030546341|0.028335352474787287|0.023389924155328756|0.01947842004985836|0.01813326354696564|0.0089202602830357|0.008432311355515792|0.008345271817093321|0.00826086984044123|0.008179105425559515|0.007612029644928271|0.007606754521387515|0.007110892908556473|0.006514803948451072|0.006459415151273136|0.006451502465962003|0.006303799006820841|0.006227309715479882|0.00615609554767968|0.006108619435812878|0.006050593076864564|0.0057525485968118635|0.005681334429011661|0.00548351729623332|0.005008756177565301|0.005008756177565301|0.004766100494690536
Topic 8|0.219359355018789|work|peopl|employe|team|develop|staff|make|commun|train|respons|time|provid|ensur|opportun|success|support|skill|local|approach|experi|futur|educ|review|profession|standard|level|recruit|commit|benefit|place|0.02495070361319176|0.02177073594921529|0.01684924808803583|0.0124868375742775|0.012279049073490589|0.010948513866794298|0.010710877294071146|0.010297596298030884|0.010206904079455383|0.010160983968784242|0.009666194776302706|0.008672024380272517|0.008411427752213796|0.008194455229292658|0.007441365414285956|0.0071118886202205245|0.007060228495715492|0.006405866918651742|0.006304842675175234|0.006165934340395034|0.0061142742158900015|0.0059960299309118155|0.005634409059376585|0.00560800499574068|0.005162579922230619|0.005051223653853103|0.0048767272333027694|0.004742410909589685|0.004704526818285993|0.004695342796151766
Topic 9|-2.0833520717357272|statement|financi-statement|report|note|annual|annual-report|corpor|end|auditor|inform|govern|oper|present|corpor-govern|subsidiari|equiti|set|differ|gener|prepar|independ|separ|statement-note|credit|financi-report|share|consist|incom|plan|director-report|0.21339408455858916|0.1785200163601554|0.09374503523009196|0.05801054805910822|0.035914040350668835|0.023485389916472293|0.01569758197201389|0.014616977041921579|0.009854185406467684|0.00974239868956158|0.009445994515946918|0.00879221159585972|0.008753255618756079|0.007550701542948017|0.006830862835598122|0.0048796765041461704|0.004671346713548436|0.004539235139023043|0.00422419984592403|0.004195406297630035|0.004127656772232397|0.003963364173143127|0.0037601155969502155|0.0036754286902031686|0.003668653737663405|0.0035077486148440166|0.0034569364707957885|0.003448467780121084|0.0033570059208342736|0.0032960313479764
